page_name,categories
Andrew_Carnegie,"{'Scottish billionaires', 'American businesspeople in the steel industry', 'Scottish emigrants to the United States', 'Andrew Carnegie', 'People of the American Industrial Revolution', '20th-century American businesspeople', 'Activists from Massachusetts', 'Rectors of the University of Aberdeen', 'American railway entrepreneurs', 'University and college founders', 'People from Sutherland', 'Rectors of the University of St Andrews', 'Members of the American Philosophical Society', 'People from Dunfermline', 'People from Lenox, Massachusetts', 'Hall of Fame for Great Americans inductees', 'American Civil War industrialists', 'Businesspeople from Pittsburgh', 'Philanthropists from Pittsburgh', 'Carnegie Endowment for International Peace', 'Carnegie Mellon University people', 'Massachusetts Republicans', ""Presidents of the Saint Andrew's Society of the State of New York"", 'U.S. Steel people', 'Deaths from bronchopneumonia', 'Deaths from pneumonia in Massachusetts', 'Gilded Age', '1919 deaths', 'English-language spelling reform advocates', 'Carnegie family', 'American billionaires', 'American spiritualists', '20th-century American philanthropists', 'Scottish spiritualists', 'American industrialists', 'American company founders', 'Burials at Sleepy Hollow Cemetery', 'Bessemer Gold Medal', 'Lauder Greenway family', 'Naturalized citizens of the United States', 'American librarianship and human rights', 'Progressive Era in the United States', 'People associated with the University of Birmingham', '1835 births'}"
Arlington_Hall,"{'Buildings and structures in Arlington County, Virginia', 'Historic American Buildings Survey in Virginia', 'Cryptography organizations', 'National Security Agency', 'Defense Intelligence Agency', 'United States Army Signals Intelligence Service installations'}"
Beaumanor_Hall,"{'Borough of Charnwood', 'Grade II* listed buildings in Leicestershire', 'Military history of Leicestershire', 'Country houses in Leicestershire', 'Y service'}"
Bletchley_Park,"{'History museums in Buckinghamshire', 'Enigma machine', 'Locations in the history of espionage', 'Museums established in 1993', 'World War II sites in England', 'Museums in Buckinghamshire', 'Tourist attractions in Buckinghamshire', 'World War II museums in the United Kingdom', 'Milton Keynes', 'Telecommunications museums in the United Kingdom', 'Intelligence agency headquarters in the United Kingdom', 'Buildings and structures in Milton Keynes', 'Cryptography organizations', 'Historic house museums in Buckinghamshire', 'Military and war museums in England', 'Bletchley Park', 'Foreign Office during World War II', 'Signals intelligence of World War II'}"
Chicheley_Hall,"{'Thomas Archer buildings', 'Grade I listed houses in Buckinghamshire', 'English Baroque architecture', 'Country houses in Buckinghamshire', 'Buildings and structures in Milton Keynes'}"
Forty_Hall,"{'Museums in the London Borough of Enfield', 'Houses completed in 1632', 'Grade I listed museum buildings', 'History of Middlesex', 'Enfield, London', '1632 establishments in England', 'Country houses in London', 'Decorative arts museums in England', 'Houses in the London Borough of Enfield', 'History of the London Borough of Enfield', 'Grade I listed houses in London', 'Art museums and galleries in London', 'Historic house museums in London', 'Local museums in London', 'Middlesex', 'Grade I listed buildings in the London Borough of Enfield'}"
Hall_Place,"{'Parks and open spaces in the London Borough of Bexley', 'Grade I listed museum buildings', 'Y service', 'Country houses in London', 'Houses in the London Borough of Bexley', 'History of the London Borough of Bexley', 'Grade I listed houses in London', 'Art museums and galleries in London', 'Historic house museums in London', 'Local museums in London', 'Crayford', 'Grade I listed buildings in the London Borough of Bexley', 'Museums in the London Borough of Bexley'}"
Kingston_Museum,"{'1904 establishments in England', 'Museums in the Royal Borough of Kingston upon Thames', 'Grade II listed museum buildings', 'Grade II listed buildings in the Royal Borough of Kingston upon Thames', 'History museums in London', 'Museums established in 1904', '1904 in London', 'Local museums in London', 'Carnegie libraries in England', 'Photography museums and galleries in England'}"
Loughborough_Town_Hall,"{'Music venues in Leicestershire', 'Loughborough', 'Government buildings completed in 1855', 'City and town halls in Leicestershire', 'Grade II listed buildings in Leicestershire', 'Grade II listed government buildings'}"
Prestwold_Hall,{'Grade I listed buildings in Leicestershire'}
Royal_Academy,"{'Art societies', 'Grade II* listed buildings in the City of Westminster', '1768 in art', 'Art schools in London', 'Educational organizations established in 1768', 'Academies of arts', 'Education in the City of Westminster', 'Art museums and galleries in London', 'Learned societies of the United Kingdom', 'Museums in the City of Westminster', 'Buildings and structures on Piccadilly', 'Art museums and galleries established in the 1760s', '1768 establishments in Great Britain', 'Royal Academy'}"
Royal_Navy,"{'Organisations based in the United Kingdom with royal patronage', 'Military units and formations established in 1707', '1707 establishments in Great Britain', 'Royal Navy', '16th-century establishments in England', 'Ig Nobel laureates', 'British Armed Forces', '1660 establishments in England', 'Military of the United Kingdom'}"
Royal_Society,"{'Royal Society', 'Non-profit organisations based in London', 'National academies of sciences', 'Members of the International Science Council', 'Members of the International Council for Science', 'Professional associations based in the United Kingdom', 'Organizations associated with the COVID-19 pandemic', 'Scientific organizations established in 1660', 'Social history of the United Kingdom', 'Learned societies of the United Kingdom', '1660 establishments in England', 'Organisations based in London with royal patronage'}"
Whaddon_Hall,"{'Y service', 'Military history of Buckinghamshire', 'Country houses in Buckinghamshire'}"
