page_name,categories
Diana_Mutz,"{'American political scientists', 'University of Pennsylvania faculty', 'Stanford University alumni', 'Fellows of the American Academy of Arts and Sciences', 'Members of the United States National Academy of Sciences', 'American women political scientists', 'American women academics', 'Northwestern University alumni', 'Political psychologists', 'Living people', '21st-century American women', 'American political scientist stubs', 'Walter H. Annenberg Professor', 'Political science journal editors', '1962 births'}"
Eriovixia_gryffindori,"{'Eriovixia', 'Spiders described in 2016', 'Spiders of the Indian subcontinent', 'Araneidae stubs'}"
Fairytales,"{'Fairy tales', 'Traditional stories', 'Folklore', 'Fantasy genres', 'Narrative techniques'}"
Fantasy_literature,"{'Fantasy literature', 'Fantasy genres', 'Literary genres'}"
Fictional_universe_of_Harry_Potter,"{'Fictional universe of Harry Potter', 'Mythography'}"
Gregory_Goyle,"{'Harry Potter characters', 'Harry Potter lists', 'Lists of literary characters', 'Speculative fiction film characters lists', 'Lists of Warner Bros. characters'}"
Grey_House_Publishing,"{'Book publishing companies based in New York (state)', 'United States publishing company stubs'}"
Harry_Potter,"{""21st-century British children's literature"", 'Book series introduced in 1997', 'Heptalogies', 'BILBY Award–winning works', 'Novels about secret societies', 'Ghosts in popular culture', 'Contemporary fantasy novels', 'Culture of the United Kingdom', 'Elves in popular culture', ""Children's books about witches"", 'British novels adapted into films', ""Children's books set in schools"", 'Fiction about invisibility', 'Novels about dragons', ""Children's books about magic"", 'Harry Potter', 'British bildungsromans', 'Giants in popular culture', ""20th-century British children's literature"", 'Fiction about wizards', 'Novels about magic', 'Fantasy novel series', 'Fiction about curses', 'Novels adapted into video games', 'Novels by J. K. Rowling', 'Fiction about magic schools', 'Book franchises', 'Boarding school fiction', 'Wizarding World', 'Novels set in schools'}"
Heliodorus_of_Emesa,"{'3rd-century writers', '4th-century Greek writers', 'People from Homs', 'Phoenician writers', '3rd-century people', 'Ancient Greek novelists'}"
Hogwarts_staff,"{'Fictional educational personnel', 'Literary characters introduced in 1997', 'Harry Potter characters', 'Fictional schoolteachers'}"
Marcus_Flint,"{'Lists of literary characters', 'Harry Potter characters', 'Lists of Warner Bros. characters', 'Harry Potter lists', 'Speculative fiction film characters lists'}"
Oxford_English_Dictionary,"{'Language software for macOS', 'Language software for Windows', 'Oxford dictionaries', '1884 non-fiction books', 'English non-fiction literature', 'English dictionaries', 'Culture of the United Kingdom', 'Oxford English Dictionary'}"
Professor_Trelawney,"{'Literary characters introduced in 1997', 'Fictional schoolteachers', 'Fictional educational personnel', 'Harry Potter characters'}"
Scottish_Arts_Council,"{'Government agencies established in 1967', 'Culture of Scotland', 'Arts councils of the United Kingdom', 'Arts organisations based in Scotland', 'Funding bodies of Scotland', 'Scottish Government Learning and Justice Directorate', 'Organisations based in Edinburgh', '1967 establishments in Scotland', '2010 disestablishments in Scotland', 'Government agencies disestablished in 2010', 'Public bodies of the Scottish Government', 'Arts organizations established in 1994', 'Organisations based in Edinburgh with royal patronage'}"
Thriller_(genre),"{'Television genres', 'Thriller genres', 'Adventure fiction', 'Literary genres'}"
